currency_id,symbol,name,market_cap,price,price_change_percentage_24h,volume_24h,last_updated
20,SUI,Sui,11977801610.00,4.0500000000,19.42,3918895909.00,2024-12-20 17:08:07.325424
7,DOGE,Dogecoin,43778335583.00,0.2967430000,11.74,15135480681.00,2024-12-20 17:08:07.321425
67,ENA,Ethena,2911811763.00,0.9898100000,6.62,1415475208.00,2024-12-20 17:08:07.338079
63,RETH,Rocket Pool ETH,1656374604.00,3668.2300000000,4.83,14197806.00,2024-12-20 17:08:07.345078
51,TIA,Celestia,2176988921.00,4.7300000000,0.93,527150824.00,2024-12-20 17:08:07.342078
74,KCS,KuCoin,1272048023.00,10.5900000000,3.14,588954.00,2024-12-20 17:08:07.350078
15,AVAX,Avalanche,14967981317.00,36.4200000000,2.20,1474485397.00,2024-12-20 17:08:07.323425
42,CRO,Cronos,4257369794.00,0.1549470000,-2.68,76069638.00,2024-12-20 17:08:07.332425
54,FTM,Fantom,2593862067.00,0.9250350000,2.15,1116503040.00,2024-12-20 17:08:07.339079
39,USDE,Ethena USDe,5918434337.00,0.9959900000,0.12,298773198.00,2024-12-20 17:08:07.329424
80,GT,Gate,1554775348.00,12.2100000000,4.21,18339145.00,2024-12-20 17:08:07.346079
30,ICP,Internet Computer,4625351316.00,9.6100000000,2.42,447605156.00,2024-12-20 17:08:07.331424
78,OM,MANTRA,3551135851.00,3.7300000000,1.75,276553105.00,2024-12-20 17:08:07.334074
73,EZETH,Renzo Restaked ETH,1218370908.00,3365.4700000000,5.10,11632618.00,2024-12-20 17:08:07.351079
77,THETA,Theta Network,1870834947.00,1.8700000000,5.67,124460532.00,2024-12-20 17:08:07.343078
68,PYTH,Pyth Network,1275585352.00,0.3505470000,2.51,231772727.00,2024-12-20 17:08:07.350078
1999,LOCKIN,LOCK IN,95097924.00,0.0956820000,-11.14,5397275.00,2024-11-10 06:16:04.935590
71,FLOKI,FLOKI,1543042621.00,0.0001591200,4.50,804516380.00,2024-12-20 17:08:07.346079
21,DOT,Polkadot,10102268371.00,6.6100000000,7.52,1259704077.00,2024-12-20 17:08:07.326423
41,WBT,WhiteBIT Coin,3522091694.00,24.4100000000,0.56,65865043.00,2024-12-20 17:08:07.335079
88,MSOL,Marinade Staked SOL,1049077690.00,232.9000000000,-0.03,58930941.00,2024-12-20 17:08:07.354078
27,UNI,Uniswap,7186128999.00,11.9300000000,3.85,2092300598.00,2024-12-20 17:08:07.328424
89,BSV,Bitcoin SV,1015842323.00,50.9900000000,4.65,75289469.00,2024-12-20 17:08:07.355078
32,TAO,Bittensor,3252214905.00,439.9700000000,0.52,515571207.00,2024-12-20 17:08:07.337080
76,MKR,Maker,1442219018.00,1614.5200000000,-0.67,316673459.00,2024-12-20 17:08:07.348079
18,LINK,Chainlink,13541002825.00,21.5600000000,2.79,3098687187.00,2024-12-20 17:08:07.323425
60,VET,VeChain,3434099739.00,0.0421984900,3.28,348701692.00,2024-12-20 17:08:07.336080
4,SOL,Solana,89588416415.00,186.7300000000,0.08,14718322963.00,2024-12-20 17:08:07.321425
59,ATOM,Cosmos Hub,2475584208.00,6.3200000000,-0.14,550239763.00,2024-12-20 17:08:07.340078
84,NEIRO,Neiro,383566105.00,0.0009094800,17.42,484082106.00,2024-12-20 17:08:07.386774
38,POL,POL (ex-MATIC),3805937592.00,0.4520100000,-0.51,458178681.00,2024-12-20 17:08:07.333795
43,MNT,Mantle,3798341211.00,1.1400000000,16.14,342949726.00,2024-12-20 17:08:07.334074
